date,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,PPO Agent 1,PPO Agent 2,TD3 Agent 1,TD3 Agent 2,Mean Var,djia
2025-01-30 14:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,901958.6294233119,1000000.0
2025-01-30 15:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,901958.6294233119,1000904.083922869
2025-01-30 16:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,901958.6294233119,1000633.6792122059
2025-01-30 17:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,901958.6294233119,1003767.7728034833
2025-01-30 18:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,901958.6294233119,1004462.8996968728
2025-01-30 19:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,901958.6294233119,1004927.8596367377
2025-01-30 20:30:00+00:00,1000685.7938728333,1000685.7938728333,1001371.5877456665,1000685.7938728333,1000466.3398335266,1000466.3398335266,1001371.5877456665,1000685.7938728333,912884.6158778609,1002817.4285524507
2025-01-31 14:30:00+00:00,1001899.3322181702,1001899.3322181702,1003798.6644363403,1001899.3322181702,1001291.5459083557,1001291.5459083557,1003798.6644363403,1001899.3322181702,922210.0074593319,1004258.6559838476
2025-01-31 15:30:00+00:00,1002682.2437057495,1002682.2437057495,1005364.487411499,1002682.2437057495,1001823.9257199097,1001823.9257199097,1005364.487411499,1002682.2437057495,926331.9323528142,1002721.3292669632
2025-01-31 16:30:00+00:00,999738.863822937,999738.863822937,999477.727645874,999738.863822937,999822.4273995972,999822.4273995972,999477.727645874,999738.863822937,915807.9067580166,1004074.7493584872
2025-01-31 17:30:00+00:00,996826.2103500366,996826.2103500366,993652.4207000734,996826.2103500366,997841.823038025,997841.823038025,993652.4207000734,996826.2103500366,907476.4050815348,999651.912851477
2025-01-31 18:30:00+00:00,993284.1372528076,993284.1372528076,986568.2745056154,993284.1372528076,995433.2133319093,995433.2133319093,986568.2745056154,993284.1372528076,898998.7611643249,997727.1340653113
2025-01-31 19:30:00+00:00,983072.2797737122,983072.2797737122,966144.5595474243,983072.2797737122,988489.1502461244,988489.1502461244,966144.5595474243,983072.2797737122,877803.8428774086,995136.4684045013
2025-01-31 20:30:00+00:00,982572.6191101074,982572.6191101074,965145.2382202148,982572.6191101074,988149.3809948731,988149.3809948731,965145.2382202148,982572.6191101074,877000.6460144987,995290.6985929266
2025-02-03 14:30:00+00:00,963432.6287231445,963432.6287231445,931042.1353997804,963432.6287231445,975134.1875317383,975134.1875317383,931042.1353997804,963432.6287231445,846013.3054676157,990549.5386579669
2025-02-03 15:30:00+00:00,967259.7508583069,967259.7508583069,937290.7728356933,967259.7508583069,977736.6305836487,977736.6305836487,937290.7728356933,967259.7508583069,851691.8877730186,993188.2976033397
2025-02-03 16:30:00+00:00,963642.9649009705,963642.9649009705,932087.5733117675,963642.9649009705,975277.2161326599,975277.2161326599,932087.5733117675,963642.9649009705,846963.3694278462,992999.8522288009
2025-02-03 17:30:00+00:00,963884.4431190491,963884.4431190491,932488.9002313232,963884.4431190491,975441.4213209534,975441.4213209534,932488.9002313232,963884.4431190491,847328.0838103726,993107.8220890623
2025-02-03 18:30:00+00:00,974908.2907943726,974908.2907943726,946199.6659783935,974908.2907943726,982937.6377401734,982937.6377401734,946199.6659783935,974908.2907943726,859788.034089671,995279.5262872569
2025-02-03 19:30:00+00:00,973625.1947135925,973625.1947135925,944793.1504144287,973625.1947135925,982065.1324052429,982065.1324052429,944793.1504144287,973625.1947135925,858509.8331257455,993440.1108990991
2025-02-03 20:30:00+00:00,967492.2219390869,967492.2219390869,938279.9476708984,967492.2219390869,977894.7109185791,977894.7109185791,938279.9476708984,967492.2219390869,852590.8214643642,992672.8004370467
2025-02-04 14:30:00+00:00,993593.8650817871,993593.8650817871,964577.2606744384,993593.8650817871,995643.8282556152,995643.8282556152,964577.2606744384,993593.8650817871,876489.0645346516,992662.9373859476
2025-02-04 15:30:00+00:00,995050.9274897766,995050.9274897766,966024.8231286621,995050.9274897766,996643.4538194275,996643.4538194275,966024.8231286621,995050.9274897766,877804.5677340012,995073.8860360231
2025-02-04 16:30:00+00:00,976660.437377472,976660.437377472,948171.5733117675,976660.437377472,983016.2089485169,983016.2089485169,948171.5733117675,976660.437377472,861580.0468614211,992688.1623573425
2025-02-04 17:30:00+00:00,986602.0969233704,986602.0969233704,957822.8077478027,986602.0969233704,990728.7966368103,990728.7966368103,957822.8077478027,986602.0969233704,870350.8116330785,994286.6749044964
2025-02-04 18:30:00+00:00,988423.702209015,988423.702209015,959591.1985864259,988423.702209015,992183.5879841615,992183.5879841615,959591.1985864259,988423.702209015,871957.8744572916,995746.493750797
2025-02-04 19:30:00+00:00,981423.7120967102,981423.7120967102,952795.6987695312,981423.7120967102,986109.7138691712,986109.7138691712,952795.6987695312,981423.7120967102,865782.3193202942,994720.9110037697
2025-02-04 20:30:00+00:00,983204.8049617005,983204.8049617005,954524.7606744384,983204.8049617005,987677.6654457093,987677.6654457093,954524.7606744384,983204.8049617005,867353.6411386671,995478.7948329133
