,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
0,2023-10-09 15:30:00+00:00,NVDA,44.51000213623047,44.86289978027344,44.5,44.775001525878906,3473688.0,0.0,0.0025195567142830555,44.9407774372478,44.388771716398026,57.90141944661308,44.15411017029124,31.09913326257803,44.664774576822914,44.664774576822914
1,2023-10-09 16:30:00+00:00,NVDA,44.77899932861328,45.11000061035156,44.71099853515625,45.066009521484375,3416864.0,0.0,0.01614438258461348,45.22527298416669,44.30489364180987,74.60525884636917,133.33333333333545,76.60815093475249,44.76508331298828,44.76508331298828
2,2023-10-09 17:30:00+00:00,NVDA,45.07500076293945,45.560997009277344,45.06616973876953,45.41967010498047,6002919.0,0.0,0.037280997815955175,45.60425062351871,44.18775071925472,83.05697364703212,137.83272660943817,89.7791982029063,44.896000671386716,44.896000671386716
3,2023-10-09 18:30:00+00:00,NVDA,45.420997619628906,45.60499954223633,45.29100036621094,45.51700210571289,4939165.0,0.0,0.05344818455792222,45.81091300264788,44.18808881823428,84.52342650391066,113.56272806045955,90.34612344617578,44.99950091044108,44.99950091044108
4,2023-10-09 19:30:00+00:00,NVDA,45.527992248535156,45.5359992980957,45.17399978637695,45.27300262451172,2921187.0,0.0,0.05184214487128003,45.807599673635266,44.269545494124216,69.02929998392533,66.19320227018244,64.42351036667037,45.03857258387974,45.03857258387974
5,2023-10-10 13:30:00+00:00,NVDA,45.310001373291016,45.632999420166016,45.0880012512207,45.61499786376953,9668942.0,1.0,0.06619692126911758,45.93102175888408,44.290229728847855,75.53258166311397,76.17541167368088,68.25492427350255,45.11062574386597,45.11062574386597
6,2023-10-10 14:30:00+00:00,NVDA,45.61899948120117,46.14200210571289,45.59000015258789,46.07749938964844,6641908.0,1.0,0.09807650382459343,46.22025619311206,44.215856104793765,81.08818391760062,135.68894221353105,80.21001594783868,45.21805614895291,45.21805614895291
7,2023-10-10 15:30:00+00:00,NVDA,46.079002380371094,46.238990783691406,46.012001037597656,46.0890007019043,4382237.0,1.0,0.11985654760898967,46.3988700137066,44.2114311947895,81.19800969946576,136.43318635728116,81.61991711691007,45.30515060424805,45.30515060424805
8,2023-10-10 16:30:00+00:00,NVDA,46.08300018310547,46.25899887084961,45.75,45.986717224121094,4589291.0,1.0,0.1284650525042963,46.48314034712509,44.25108206498429,77.0799391754568,104.6192431194687,50.63118624970129,45.36711120605469,45.36711120605469
9,2023-10-10 17:30:00+00:00,NVDA,45.98699951171875,46.03499984741211,45.80799865722656,45.84798812866211,3057459.0,1.0,0.12540811280320696,46.5068991230182,44.30746944285907,71.95933878450356,79.92017457802282,50.63118624970128,45.40718428293864,45.40718428293864
