learning_rate,gamma,ent_coef,n_steps,value,number
3.105335814861634e-05,0.9808145812362419,0.00023474977863315757,128,21.861311946064234,0
0.00020247668018206686,0.9129338826436937,3.0641937787646404e-07,64,6.4577521327883005,1
1.9930797673729628e-05,0.9336095196204506,1.7498693914374127e-07,64,6.919123720610514,2
1.3600161049447421e-05,0.9510215723450155,2.0350003632650567e-08,128,6.080873446073383,3
6.990212148423609e-05,0.997023148460237,0.001739485493015421,128,0.7077077662106603,4
0.0008465066089344386,0.9642758397500106,3.814176476246565e-08,128,9.039776078891009,5
3.4580661112767996e-05,0.9289751915747807,0.003640595739753387,512,-4.796930999495089,6
1.9621473608109132e-05,0.9494741897093916,0.00014395461658111024,64,10.243978488724679,7
6.106016712643589e-05,0.9015361016661789,1.063020273460918e-06,64,10.642879155813716,8
3.693880088375674e-05,0.9496909691656505,2.7667915962424257e-05,256,23.99678193521686,9
0.00019029428115503535,0.9694097665083498,4.839717856571544e-06,256,6.24393915431574,10
3.7435689662545256e-05,0.9952687148971042,8.47433267161518e-05,256,5.980609389021993,11
0.00013834840841502795,0.9767341193677467,5.6594207095670684e-05,256,7.576866948569659,12
1.0679415723578672e-05,0.9814155032206427,0.0004697015124212208,512,4.284836439357605,13
3.225305230746528e-05,0.953284944159931,7.679629749597102e-06,128,11.717577699106187,14
0.0003556270304962043,0.9270939997361435,2.117118022714056e-05,256,13.829674477456138,15
7.480009534735606e-05,0.9406471847307344,0.0005790549018440545,256,8.270969284698367,16
4.354480982765808e-05,0.9833190328601308,0.005643357326972359,128,-1.1236139759421349,17
2.001457271046113e-05,0.9627613109168541,1.946106350864113e-06,512,13.913685360341333,18
