learning_rate,gamma,ent_coef,n_steps,value,number
1.2413307176498037e-05,0.9891359061132401,6.773945321401232e-07,64,3.688846065130747,0
1.4577379630229318e-05,0.9729886738409252,7.512103877913549e-05,128,7.377692130261494,1
0.0007626702338759319,0.9162108893191119,0.0026527148784099,256,8.467041020354372,2
0.0006119531215351026,0.9685043220920349,1.2876597648332548e-06,128,4.48901023415965,3
0.0005052760661867459,0.9843756951468592,0.0027942166554792685,128,4.576128823377076,4
0.0008761264113383397,0.9468581774194021,6.822959211419616e-05,64,4.386008293808118,5
0.00020589846017121145,0.9055877024060953,9.595431636219863e-06,256,1.2296152754463492,6
0.000310562971204105,0.9755829578787021,0.0031373096759900643,64,4.749710412550485,7
0.000479679471797855,0.9576285901994824,1.0713528907265594e-05,512,2.4592305508926984,8
6.521490192554121e-05,0.9332012643665162,4.053861348529222e-05,64,14.71627351623465,9
