,turbulence,turbulence_bin
2025-01-31 17:30:00+00:00,0.8913068116134332,medium
2025-01-31 18:30:00+00:00,2.4017127303284442,high
2025-01-31 19:30:00+00:00,3.2845636856218343,high
2025-01-31 20:30:00+00:00,1.5376952745166919,high
2025-02-03 14:30:00+00:00,2.824905203408918,high
2025-02-03 15:30:00+00:00,1.2483835884269623,medium
2025-02-03 16:30:00+00:00,1.0820180039354677,medium
2025-02-03 17:30:00+00:00,0.7791371420099005,medium
2025-02-03 18:30:00+00:00,0.4553122024887796,low
2025-02-03 19:30:00+00:00,1.4285472884950627,medium
2025-02-03 20:30:00+00:00,0.043834438474253556,low
2025-02-04 14:30:00+00:00,3.892544421892375,high
2025-02-04 15:30:00+00:00,1.7148146634204702,high
2025-02-04 16:30:00+00:00,0.3033744547353225,low
2025-02-04 17:30:00+00:00,0.44195722163106055,low
2025-02-04 18:30:00+00:00,0.3945719630951676,low
2025-02-04 19:30:00+00:00,0.9129275041273861,medium
2025-02-04 20:30:00+00:00,0.3470776456490112,low
2025-02-05 14:30:00+00:00,6.519790393260846,high
2025-02-05 15:30:00+00:00,2.3328656690368423,high
2025-02-05 16:30:00+00:00,1.64609032672284,high
2025-02-05 17:30:00+00:00,0.728663285074837,medium
2025-02-05 18:30:00+00:00,0.4859996437600588,low
2025-02-05 19:30:00+00:00,1.9782034954732435,high
2025-02-05 20:30:00+00:00,2.3515788517227154,high
2025-02-06 14:30:00+00:00,3.0385411624261303,high
2025-02-06 15:30:00+00:00,1.95900613379351,high
2025-02-06 16:30:00+00:00,1.8271142457259686,high
2025-02-06 17:30:00+00:00,1.528783114655892,medium
2025-02-06 18:30:00+00:00,0.7300639255293673,medium
2025-02-06 19:30:00+00:00,1.0434688072588831,medium
2025-02-06 20:30:00+00:00,1.9077559548053928,high
2025-02-07 14:30:00+00:00,2.6088411411461743,high
2025-02-07 15:30:00+00:00,0.6409801164677855,low
2025-02-07 16:30:00+00:00,0.4113488726337336,low
2025-02-07 17:30:00+00:00,1.7208455200580401,high
2025-02-07 18:30:00+00:00,1.6603235548624535,high
2025-02-07 19:30:00+00:00,0.5207805414680485,low
2025-02-07 20:30:00+00:00,2.542840313776173,high
2025-02-10 14:30:00+00:00,7.653331062493602,high
2025-02-10 15:30:00+00:00,1.3538950638637783,medium
2025-02-10 16:30:00+00:00,1.092086562197418,medium
2025-02-10 17:30:00+00:00,0.8590840813357874,medium
2025-02-10 18:30:00+00:00,0.6760869125813367,low
