date,A2C Agent 1,A2C Agent 2,A2C Agent 3,SAC Agent 1,SAC Agent 2,SAC Agent 3,PPO Agent 1,PPO Agent 2,PPO Agent 3,TD3 Agent 1,TD3 Agent 2,TD3 Agent 3,mvo,djia
2025-02-21 14:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,937023.850420162,1000000.0
2025-02-21 15:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,937023.850420162,999981.718120348
2025-02-21 16:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,937023.850420162,998114.4693586334
2025-02-21 17:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,937023.850420162,992950.9531057302
2025-02-21 18:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,937023.850420162,990121.1856753179
2025-02-21 19:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,937023.850420162,992161.0867248672
2025-02-21 20:30:00+00:00,999583.0760063477,999583.0760063477,999583.0760063477,999517.4490814209,999517.4490814209,999517.4490814209,999576.3202934875,999576.3202934875,999576.3202934875,999517.4490814209,999517.4490814209,999517.4490814209,931267.1407498845,991536.4707000774
2025-02-24 14:30:00+00:00,998367.3013449707,998367.3013449707,1045446.223053003,998110.302482605,998110.302482605,1044729.4248298645,998340.8455797271,998340.8455797271,1045372.435000621,998110.302482605,998110.302482605,1044729.4248298645,921973.115811304,992378.8640424768
2025-02-24 15:30:00+00:00,999748.4363791504,999748.4363791504,1139886.8290252956,999708.8384017944,999708.8384017944,1137507.9039644622,999744.3601167754,999744.3601167754,1139641.939680798,999708.8384017944,999708.8384017944,1137507.9039644622,929671.8352701573,994913.0001019327
2025-02-24 16:30:00+00:00,1000658.2332504883,1000658.2332504883,1189105.1757829569,1000761.844039917,1000761.844039917,1185383.305304348,1000668.899067047,1000668.899067047,1188722.0420572176,1000761.844039917,1000761.844039917,1185383.305304348,933555.9606789055,995810.9525224937
2025-02-24 17:30:00+00:00,1000643.2623173828,1000643.2623173828,1189090.2048498513,1000744.5165710449,1000744.5165710449,1185365.977835476,1000653.6855493773,1000653.6855493773,1188706.828539548,1000744.5165710449,1000744.5165710449,1185365.977835476,933694.6000698064,996582.9829232084
2025-02-24 18:30:00+00:00,995660.3222998048,995660.3222998048,1184107.2648322734,994977.2248840332,994977.2248840332,1179598.6861484642,995590.0034481811,995590.0034481811,1183643.1464383516,994977.2248840332,994977.2248840332,1179598.6861484642,920516.66138567,995904.9481378747
2025-02-24 19:30:00+00:00,995149.4057163086,995149.4057163086,1183596.3482487772,994385.8862457275,994385.8862457275,1179007.3475101585,995070.8081237487,995070.8081237487,1183123.9511139193,994385.8862457275,994385.8862457275,1179007.3475101585,919476.3367959314,994368.0217285044
2025-02-24 20:30:00+00:00,986555.8112543946,986555.8112543946,1214137.9860918801,984439.5963592529,984439.5963592529,1204811.6737174536,986337.965603424,986337.965603424,1213177.9245239242,984439.5963592529,984439.5963592529,1204811.6737174536,902344.9530075963,992380.7368203923
2025-02-25 14:30:00+00:00,967992.6900830078,967992.6900830078,1272026.1014203066,962954.5024108887,962954.5024108887,1251767.7446994288,967474.0531167602,967474.0531167602,1269940.6823460981,962954.5024108887,962954.5024108887,1251767.7446994288,869330.5749386124,988845.4671952182
2025-02-25 15:30:00+00:00,971610.5695717772,971610.5695717772,1314879.1906920054,967141.8629302977,967141.8629302977,1290341.993277784,971150.5556528014,971150.5556528014,1312353.3027228941,967141.8629302977,967141.8629302977,1290341.993277784,875226.0298313869,990990.154628138
2025-02-25 16:30:00+00:00,982651.9348852539,982651.9348852539,1364407.4750127387,979921.2209320068,979921.2209320068,1336090.9503330307,982370.831978302,982370.831978302,1361492.5386486507,979921.2209320068,979921.2209320068,1336090.9503330307,891421.0156573612,992697.593007725
2025-02-25 17:30:00+00:00,981792.8984160157,981792.8984160157,1438914.1089451648,978926.9657592773,978926.9657592773,1398017.043550538,981497.8759366455,981497.8759366455,1434704.1169192472,978926.9657592773,978926.9657592773,1398017.043550538,890345.9783040994,993303.927152863
2025-02-25 18:30:00+00:00,975559.851147461,975559.851147461,1432681.0616766103,971712.7906799316,971712.7906799316,1390802.8684711922,975163.83021698,975163.83021698,1428370.0711995817,971712.7906799316,971712.7906799316,1390802.8684711922,882716.6314564947,992813.5268786883
2025-02-25 19:30:00+00:00,984849.0655772706,984849.0655772706,1441970.27610642,982464.196269989,982464.196269989,1401554.2740612496,984603.5643250503,984603.5643250503,1437809.805307652,982464.196269989,982464.196269989,1401554.2740612496,893432.450972984,997836.8523276267
2025-02-25 20:30:00+00:00,970634.5838780517,970634.5838780517,1427755.794407201,966012.2498588561,966012.2498588561,1385102.3276501168,970158.7553760756,970158.7553760756,1423364.9963586773,966012.2498588561,966012.2498588561,1385102.3276501168,878277.7368209499,995946.3276118184
